Company Name,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,job_simplified,seniority,Rating Category,job_state,Python_yn,Spark,AWS_yn,Average Salary
SMC 3,"Louisville, KY","Peachtree City, GA",51 to 200 employees,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),data scientist,Other,High Rating, KY,1,0,0,84000.0
Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),data scientist,Other,High Rating, VA,1,0,1,143000.0
Pfizer,"Cambridge, MA","New York, NY",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),data scientist,Other,High Rating, MA,1,0,1,86500.0
First Tech Federal Credit Union,"Hillsboro, OR","San Jose, CA",1001 to 5000 employees,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),data scientist,Other,Medium Rating, OR,1,1,1,99500.0
The Hanover Insurance Group,"Worcester, MA","Worcester, MA",5001 to 10000 employees,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),data analyst,Associate,Medium Rating, MA,0,0,0,47500.0
Pfizer,"Groton, CT","New York, NY",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),data scientist,Other,High Rating, CT,0,0,1,84000.0
KnowBe4,"Clearwater, FL","Clearwater, FL",501 to 1000 employees,Company - Private,Security Services,Business Services,$100 to $500 million (USD),data scientist,Other,High Rating, FL,1,1,0,85000.0
PNNL,"Richland, WA","Richland, WA",1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),data scientist,Other,Medium Rating, WA,1,0,0,76500.0
Amrock,"Detroit, MI","Detroit, MI",1001 to 5000 employees,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),data scientist,Other,Medium Rating, MI,1,0,0,96000.0
Novartis,"Cambridge, MA","Basel, Switzerland",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),data scientist,Other,Medium Rating, MA,1,0,0,114500.0
Juniper Networks,"Sunnyvale, CA","Sunnyvale, CA",5001 to 10000 employees,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),data scientist,Other,Medium Rating, CA,1,1,0,121000.0
New England Biolabs,"Ipswich, MA","Ipswich, MA",201 to 500 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,data scientist,Other,High Rating, MA,1,0,0,112500.0
Clarity Insights,"San Jose, CA","Chicago, IL",201 to 500 employees,Company - Private,IT Services,Information Technology,Unknown,data analyst,Other,High Rating, CA,1,0,0,106000.0
Esri,"Redlands, CA","Redlands, CA",1001 to 5000 employees,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),data scientist,Other,Medium Rating, CA,1,1,1,107000.0
Systems & Technology Research,"Woburn, MA","Woburn, MA",201 to 500 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),data scientist,Other,High Rating, MA,1,1,0,110000.0
Sartorius,"Fremont, CA","Gottingen, Germany",5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),data scientist,Senior/Principal,Medium Rating, CA,1,0,0,147500.0
Lancer Insurance,"Long Beach, NY","Long Beach, NY",201 to 500 employees,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),data engineer,Other,Medium Rating, NY,1,0,0,106000.0
Sauce Labs,"San Francisco, CA","San Francisco, CA",201 to 500 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),data analyst,Other,High Rating, CA,1,0,1,88000.0
Persivia,"Marlborough, MA","Lowell, MA",1 to 50 employees,Company - Private,Unknown,Unknown,Less than $1 million (USD),data engineer,Other,Medium Rating, MA,0,0,0,98500.0
Nuna,"San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data scientist,Entry Level,High Rating, CA,0,0,0,142500.0
Edgewell Personal Care,"Allendale, NJ","Shelton, CT",5001 to 10000 employees,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),other scientist,Other,Medium Rating, NJ,0,0,1,82500.0
Equity Residential,"Chicago, IL","Chicago, IL",1001 to 5000 employees,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),data scientist,Senior/Principal,High Rating, IL,1,1,0,130000.0
BPA Services,"Washington, DC","Alexandria, VA",Unknown,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data scientist,Other,High Rating, DC,0,0,1,155000.0
Visa Inc.,"Bellevue, WA","Foster City, CA",10000+ employees,Company - Public,IT Services,Information Technology,$10+ billion (USD),data scientist,Senior/Principal,Medium Rating, WA,1,0,0,184500.0
Intrado,"Longmont, CO","Omaha, NE",5001 to 10000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),data analyst,Associate,Medium Rating, CO,0,0,0,29500.0
Centauri,"Beavercreek, OH","Chantilly, VA",501 to 1000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),other scientist,Other,High Rating, OH,0,0,0,86500.0
Caterpillar,"Peoria, IL","Deerfield, IL",10000+ employees,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),data scientist,Associate,Medium Rating, IL,0,0,0,81000.0
Zimmerman Advertising,"Fort Lauderdale, FL","Fort Lauderdale, FL",501 to 1000 employees,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown,data scientist,Other,Medium Rating, FL,1,0,0,91000.0
Liberty Mutual Insurance,"Boston, MA","Boston, MA",10000+ employees,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),data scientist,Other,Medium Rating, MA,1,0,0,114500.0
"Torch Technologies, Inc.","Huntsville, AL","Huntsville, AL",1001 to 5000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),data scientist,Other,High Rating, AL,1,0,0,68000.0
Swiss Re,"Armonk, NY","Zurich, Switzerland",10000+ employees,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),data scientist,Other,Medium Rating, NY,1,0,0,115000.0
Northrop Grumman,"San Diego, CA","Falls Church, VA",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),data scientist,Other,Medium Rating, CA,0,0,0,109500.0
Sartorius,"Albuquerque, NM","Gottingen, Germany",5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),data scientist,Other,Medium Rating, NM,1,0,0,75500.0
Netskope,"San Francisco, CA","Santa Clara, CA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data scientist,Other,High Rating, CA,1,1,0,154500.0
1904labs,"Saint Louis, MO","Saint Louis, MO",51 to 200 employees,Company - Private,IT Services,Information Technology,Unknown,data scientist,Other,High Rating, MO,1,1,0,143500.0
ClearOne Advantage,"Baltimore, MD","Baltimore, MD",501 to 1000 employees,Company - Private,Banks & Credit Unions,Finance,Unknown,data scientist,Other,High Rating, MD,0,0,0,73500.0
CyrusOne,"Dallas, TX","Dallas, TX",201 to 500 employees,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),data scientist,Other,Medium Rating, TX,1,0,1,95000.0
The David J. Joseph Company,"Cincinnati, OH","Cincinnati, OH",201 to 500 employees,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,Unknown,data scientist,Senior/Principal,High Rating, OH,1,0,1,107000.0
USEReady,"New York, NY","New York, NY",201 to 500 employees,Company - Private,Consulting,Business Services,$10 to $25 million (USD),data scientist,Other,High Rating, NY,1,1,1,115000.0
Bill.com,"Palo Alto, CA","Palo Alto, CA",501 to 1000 employees,Company - Public,Financial Transaction Processing,Finance,$50 to $100 million (USD),data scientist,Senior/Principal,Medium Rating, CA,0,0,0,139500.0
Pacific Northwest National Laboratory,"Richland, WA","Richland, WA",1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),data scientist,Entry Level,Medium Rating, WA,0,0,0,67000.0
DICK'S Sporting Goods - Corporate,"Coraopolis, PA","Coraopolis, PA",10000+ employees,Company - Public,Sporting Goods Stores,Retail,$5 to $10 billion (USD),data scientist,Other,Medium Rating, PA,1,0,0,85000.0
Berg Health,"Framingham, MA","Framingham, MA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),data scientist,Other,Low Rating, MA,1,0,0,118000.0
Oversight Systems,"Atlanta, GA","Atlanta, GA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),data scientist,Other,High Rating, GA,1,0,0,79500.0
C Space,"Boston, MA","Boston, MA",201 to 500 employees,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),data scientist,Other,Medium Rating, MA,1,0,0,56500.0
"Numeric, LLC","Philadelphia, PA","Chadds Ford, PA",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),data scientist,Other,Medium Rating, PA,1,1,1,128500.0
HP Inc.,"Vancouver, WA","Palo Alto, CA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology,Unknown,other scientist,Other,High Rating, WA,0,0,0,97500.0
SpringML,"Indianapolis, IN","Pleasanton, CA",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,other analytics,Other,High Rating, IN,1,0,0,66500.0
Grainger,"Lake Forest, IL","Lake Forest, IL",10000+ employees,Company - Public,Wholesale,Business Services,$10+ billion (USD),data scientist,Executive/Director,Medium Rating, IL,1,0,0,179500.0
EAG Laboratories,"Maryland Heights, MO","San Diego, CA",501 to 1000 employees,Subsidiary or Business Segment,Research & Development,Business Services,$50 to $100 million (USD),other scientist,Other,Low Rating, MO,0,0,0,76000.0
The Buffalo Group,"Charlottesville, VA","Reston, VA",501 to 1000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),data scientist,Senior/Principal,Medium Rating, VA,1,1,0,112000.0
Carmeuse,"Pittsburgh, PA","Louvain-la-Neuve, Belgium",1001 to 5000 employees,Company - Private,Mining,Mining & Metals,$1 to $2 billion (USD),data scientist,Other,Medium Rating, PA,1,0,0,98000.0
HP Inc.,"Vancouver, WA","Palo Alto, CA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology,Unknown,data scientist,Senior/Principal,High Rating, WA,0,1,1,128000.0
h2o.ai,"Mountain View, CA","Mountain View, CA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data scientist,Other,High Rating, CA,1,1,1,150500.0
GNS Healthcare,"Cambridge, MA","Cambridge, MA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),reasearch scientist,Other,Very Low Rating, MA,0,0,1,87500.0
Peraton,"Chantilly, VA","Herndon, VA",1001 to 5000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),data scientist,Other,Medium Rating, VA,1,0,0,110000.0
Pactera,"San Jose, CA","Beijing, China",10000+ employees,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD),data scientist,Other,High Rating, CA,1,0,0,113500.0
Nurx,"San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),data scientist,Other,Medium Rating, CA,1,0,0,124000.0
webfx.com,"Harrisburg, PA","Harrisburg, PA",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),data analyst,Associate,High Rating, PA,0,0,0,56500.0
Johns Hopkins University Applied Physics Laboratory,"Laurel, MD","Laurel, MD",5001 to 10000 employees,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),data scientist,Other,High Rating, MD,1,0,0,130000.0
Productive Edge,"Chicago, IL","Chicago, IL",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),data analyst,Other,High Rating, IL,0,0,0,77500.0
Excella Consulting,"Arlington, VA","Arlington, VA",201 to 500 employees,Company - Private,Consulting,Business Services,$50 to $100 million (USD),data engineer,Other,High Rating, VA,1,0,1,87000.0
Gensco,"Tacoma, WA","Tacoma, WA",501 to 1000 employees,Company - Private,Wholesale,Business Services,$100 to $500 million (USD),data analyst,Other,High Rating, WA,0,0,0,53500.0
Walmart,"Plano, TX","Bentonville, AR",10000+ employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),data scientist,Associate,Medium Rating, TX,0,0,0,139000.0
Logic20/20,"San Jose, CA","Seattle, WA",201 to 500 employees,Company - Private,Consulting,Business Services,$25 to $50 million (USD),data scientist,Other,Medium Rating, CA,1,1,1,114000.0
goTRG,"Miami, FL","Miami, FL",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),data scientist,Other,High Rating, FL,1,1,0,85500.0
NMR Consulting,"Huntsville, AL","Chantilly, VA",51 to 200 employees,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),data specialist,Other,High Rating, AL,0,0,0,48000.0
iSeatz,"New Orleans, LA","New Orleans, LA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data analyst,Other,Medium Rating, LA,0,0,0,48000.0
Nektar Therapeutics,"San Francisco, CA","San Francisco, CA",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),other scientist,Senior/Principal,Medium Rating, CA,0,0,0,174000.0
TransUnion,"Atlanta, GA","Chicago, IL",5001 to 10000 employees,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),data scientist,Other,Medium Rating, GA,1,1,0,85000.0
IT Concepts,"Landover, MD","Vienna, VA",51 to 200 employees,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),other,Other,High Rating, MD,0,0,0,106500.0
Scientific Research Corporation,"Patuxent River, MD","Atlanta, GA",1001 to 5000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),data analyst,Other,High Rating, MD,0,0,0,72500.0
General Dynamics Information Technology,"Suitland, MD","Fairfax, VA",10000+ employees,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),other scientist,Other,Medium Rating, MD,0,0,0,85500.0
MITRE,"McLean, VA","Bedford, MA",5001 to 10000 employees,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),data scientist,Other,Medium Rating, VA,1,0,0,97500.0
The Buffalo Group,"Fort Belvoir, VA","Reston, VA",501 to 1000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),data scientist,Other,Medium Rating, VA,1,0,0,99000.0
DentaQuest,"Milwaukee, WI","Boston, MA",1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),data analyst,Other,Medium Rating, WI,0,0,0,56500.0
Redjack,"Silver Spring, MD","Silver Spring, MD",1 to 50 employees,Company - Private,IT Services,Information Technology,Unknown,data scientist,Senior/Principal,High Rating, MD,1,0,0,133000.0
7Park Data,"New York, NY","New York, NY",51 to 200 employees,Company - Private,Research & Development,Business Services,Unknown,data scientist,Other,Medium Rating, NY,1,1,0,121000.0
Rapid Response Monitoring,"Syracuse, NY","Syracuse, NY",501 to 1000 employees,Company - Private,Security Services,Business Services,Unknown,data scientist,Other,High Rating, NY,1,0,0,85500.0
Trilogy Ed,"Houston, TX","New York, NY",1001 to 5000 employees,Subsidiary or Business Segment,Education Training Services,Education,Unknown,data scientist,Other,High Rating, TX,1,0,0,87500.0
Gallup,"Washington, DC","Washington, DC",1001 to 5000 employees,Company - Private,Consulting,Business Services,Unknown,data scientist,Senior/Principal,High Rating, DC,1,0,0,237500.0
CapTech,"Charlotte, NC","Richmond, VA",1001 to 5000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),data engineer,Other,Medium Rating, NC,1,1,0,95500.0
American Axle & Manufacturing,"Southfield, MI","Detroit, MI",10000+ employees,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),data scientist,Senior/Principal,Medium Rating, MI,1,1,1,104500.0
CentralReach,"Matawan, NJ","Pompano Beach, FL",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown,data analyst,Other,High Rating, NJ,0,0,0,56500.0
Integrate,"Phoenix, AZ","Phoenix, AZ",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),data analyst,Senior/Principal,High Rating, AZ,0,0,0,55000.0
Boys Town Hospital,"Omaha, NE","Omaha, NE",1001 to 5000 employees,Hospital,Health Care Services & Hospitals,Health Care,Unknown,reasearch scientist,Other,Low Rating, NE,0,0,0,61500.0
Demandbase,"San Francisco, CA","San Francisco, CA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),data scientist,Other,High Rating, CA,0,1,1,157000.0
Sapphire Digital,"Lyndhurst, NJ","Lyndhurst, NJ",201 to 500 employees,Company - Private,Internet,Information Technology,Unknown,data engineer,Other,Medium Rating, NJ,1,0,0,78000.0
Takeda Pharmaceuticals,"Cambridge, MA","OSAKA, Japan",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),data scientist,Other,Medium Rating, MA,1,1,0,113500.0
<intent>,"New York, NY","New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology,$100 to $500 million (USD),data scientist,Other,High Rating, NY,1,1,0,140000.0
Formation,"San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data scientist,Other,Medium Rating, CA,0,1,0,132500.0
Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),data engineer,Other,High Rating, CA,1,1,0,108000.0
Beck's Hybrids,"Atlanta, IN","Atlanta, IN",501 to 1000 employees,Company - Private,Farm Support Services,Agriculture & Forestry,$50 to $100 million (USD),data scientist,Other,High Rating, IN,0,0,0,80500.0
DrFirst,"Rockville, MD","Rockville, MD",201 to 500 employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown,data scientist,Other,Low Rating, MD,1,0,0,107500.0
Object Partners,"Minneapolis, MN","Minneapolis, MN",51 to 200 employees,Company - Private,Consulting,Business Services,$25 to $50 million (USD),data engineer,Other,High Rating, MN,0,1,1,95000.0
L.A. Care Health Plan,"Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown,data scientist,Associate,Medium Rating, CA,1,1,0,119500.0
Red Ventures,"Charlotte, NC","Fort Mill, SC",1001 to 5000 employees,Company - Private,Advertising & Marketing,Business Services,$1 to $2 billion (USD),data engineer,Senior/Principal,Medium Rating, NC,0,1,1,134000.0
Quick Base,"Cambridge, MA","Cambridge, MA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data scientist,Other,High Rating, MA,1,0,0,100500.0
The E.W. Scripps Company,"Cincinnati, OH","Cincinnati, OH",1001 to 5000 employees,Company - Public,TV Broadcast & Cable Networks,Media,$500 million to $1 billion (USD),data scientist,Other,Medium Rating, OH,1,0,0,107500.0
Upside Business Travel,"Washington, DC","Washington, DC",51 to 200 employees,Company - Private,Internet,Information Technology,Unknown,data engineer,Other,High Rating, DC,1,1,1,122000.0
Equity Residential,"Chicago, IL","Chicago, IL",1001 to 5000 employees,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),data engineer,Other,High Rating, IL,1,1,0,92500.0
Synagro,"Baltimore, MD","Baltimore, MD",501 to 1000 employees,Company - Private,Research & Development,Business Services,$100 to $500 million (USD),data analyst,Other,Low Rating, MD,0,0,0,62000.0
Alliance Source Testing,"Alabaster, AL","Decatur, AL",51 to 200 employees,Unknown,Architectural & Engineering Services,Business Services,$25 to $50 million (USD),other scientist,Other,High Rating, AL,0,0,0,39500.0
Accuride International,"Santa Fe Springs, Los Angeles, CA","Santa Fe Springs, CA",1001 to 5000 employees,Company - Private,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD),data scientist,Other,Medium Rating, Los Angeles,0,0,0,107500.0
Full Potential Solutions,"Kansas City, MO","Kansas City, MO",501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown,other analytics,Senior/Principal,Medium Rating, MO,1,0,1,40500.0
Visa Inc.,"Ashburn, VA","Foster City, CA",10000+ employees,Company - Public,IT Services,Information Technology,$10+ billion (USD),data scientist,Senior/Principal,Medium Rating, VA,1,1,0,89500.0
Maven Wave Partners,"Chicago, IL","Chicago, IL",201 to 500 employees,Company - Private,Consulting,Business Services,$50 to $100 million (USD),data scientist,Other,High Rating, IL,1,0,1,81000.0
Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),data scientist,Senior/Principal,High Rating, VA,1,0,1,147000.0
"First Command Financial Services, Inc.","Fort Worth, TX","Fort Worth, TX",1001 to 5000 employees,Company - Private,Brokerage Services,Finance,$100 to $500 million (USD),data scientist,Other,Medium Rating, TX,1,0,0,85000.0
Pharmavite,"Valencia, CA","West Hills, CA",1001 to 5000 employees,Company - Private,Consumer Products Manufacturing,Manufacturing,$1 to $2 billion (USD),other scientist,Associate,Low Rating, CA,0,0,0,81500.0
BioMarin Pharmaceutical,"Novato, CA","San Rafael, CA",1001 to 5000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$500 million to $1 billion (USD),other scientist,Associate,Medium Rating, CA,0,0,0,168000.0
Stratagem Group,"Aurora, CO","Aurora, CO",1 to 50 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown,machine learning engineer,Other,High Rating, CO,1,1,1,100500.0
PA Consulting,"New York, NY","London, United Kingdom",1001 to 5000 employees,Company - Private,Consulting,Business Services,$100 to $500 million (USD),data scientist,Other,Medium Rating, NY,1,1,0,97000.0
ManTech,"Chantilly, VA","Herndon, VA",5001 to 10000 employees,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),data scientist,Other,High Rating, VA,0,0,0,85000.0
h2o.ai,"Mountain View, CA","Mountain View, CA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data scientist,Other,High Rating, CA,1,1,1,153500.0
Gridiron IT,"Tampa, FL","Reston, VA",51 to 200 employees,Company - Private,IT Services,Information Technology,Unknown,data engineer,Other,High Rating, FL,0,0,0,132500.0
Productive Edge,"Chicago, IL","Chicago, IL",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),data engineer,Other,High Rating, IL,0,1,0,100000.0
Evolve Vacation Rental,"Denver, CO","Denver, CO",201 to 500 employees,Company - Private,Travel Agencies,Travel & Tourism,Unknown,data scientist,Senior/Principal,Medium Rating, CO,1,0,0,105000.0
