Rating,Company Name,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,job_simplified,seniority,Min Salary,Max Salary,Average Salary,Python_yn,Spark,AWS_yn,Excel_yn,Tableau_yn,SQL_yn,Rating Category,job_state,same_state,Age
3.7,The Hanover Insurance Group,"Worcester, MA","Worcester, MA",5001 to 10000 employees,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),data analyst,Associate,34000,61000,47500.0,0,0,0,1,0,0,Medium Rating, MA,1,171
4.0,Pfizer,"Groton, CT","New York, NY",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),data scientist,Other,63000,105000,84000.0,0,0,1,1,0,0,High Rating, CT,0,174
4.8,KnowBe4,"Clearwater, FL","Clearwater, FL",501 to 1000 employees,Company - Private,Security Services,Business Services,$100 to $500 million (USD),data scientist,Other,80000,90000,85000.0,1,1,0,1,0,1,High Rating, FL,1,13
3.8,PNNL,"Richland, WA","Richland, WA",1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),data scientist,Other,56000,97000,76500.0,1,0,0,0,0,0,Medium Rating, WA,1,58
3.6,Amrock,"Detroit, MI","Detroit, MI",1001 to 5000 employees,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),data scientist,Other,72000,120000,96000.0,1,0,0,0,0,1,Medium Rating, MI,1,26
3.8,Novartis,"Cambridge, MA","Basel, Switzerland",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),data scientist,Other,86000,143000,114500.0,1,0,0,0,0,0,Medium Rating, MA,0,27
3.8,Juniper Networks,"Sunnyvale, CA","Sunnyvale, CA",5001 to 10000 employees,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),data scientist,Other,93000,149000,121000.0,1,1,0,1,0,1,Medium Rating, CA,1,27
4.7,New England Biolabs,"Ipswich, MA","Ipswich, MA",201 to 500 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,data scientist,Other,85000,140000,112500.0,1,0,0,1,0,0,High Rating, MA,1,49
4.2,Clarity Insights,"San Jose, CA","Chicago, IL",201 to 500 employees,Company - Private,IT Services,Information Technology,Unknown,data analyst,Other,77000,135000,106000.0,1,0,0,1,1,1,High Rating, CA,0,15
3.5,Esri,"Redlands, CA","Redlands, CA",1001 to 5000 employees,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),data scientist,Other,82000,132000,107000.0,1,1,1,0,1,0,Medium Rating, CA,1,54
4.7,Systems & Technology Research,"Woburn, MA","Woburn, MA",201 to 500 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),data scientist,Other,83000,137000,110000.0,1,1,0,1,0,1,High Rating, MA,1,13
3.5,Sartorius,"Fremont, CA","Gottingen, Germany",5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),data scientist,Senior/Principal,115000,180000,147500.0,1,0,0,1,0,0,Medium Rating, CA,0,153
3.5,Lancer Insurance,"Long Beach, NY","Long Beach, NY",201 to 500 employees,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),data engineer,Other,74000,138000,106000.0,1,0,0,1,0,1,Medium Rating, NY,1,38
4.2,Sauce Labs,"San Francisco, CA","San Francisco, CA",201 to 500 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),data analyst,Other,64000,112000,88000.0,1,0,1,1,1,1,High Rating, CA,1,15
3.6,Persivia,"Marlborough, MA","Lowell, MA",1 to 50 employees,Company - Private,Unknown,Unknown,Less than $1 million (USD),data engineer,Other,68000,129000,98500.0,0,0,0,1,0,1,Medium Rating, MA,0,-1
4.2,Nuna,"San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data scientist,Entry Level,110000,175000,142500.0,0,0,0,0,0,0,High Rating, CA,1,13
3.4,Edgewell Personal Care,"Allendale, NJ","Shelton, CT",5001 to 10000 employees,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),other scientist,Other,52000,113000,82500.0,0,0,1,0,0,0,Medium Rating, NJ,0,8
4.3,Equity Residential,"Chicago, IL","Chicago, IL",1001 to 5000 employees,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),data scientist,Senior/Principal,110000,150000,130000.0,1,1,0,1,1,1,High Rating, IL,1,30
5.0,BPA Services,"Washington, DC","Alexandria, VA",Unknown,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data scientist,Other,150000,160000,155000.0,0,0,1,1,0,0,High Rating, DC,0,-1
3.7,Visa Inc.,"Bellevue, WA","Foster City, CA",10000+ employees,Company - Public,IT Services,Information Technology,$10+ billion (USD),data scientist,Senior/Principal,158000,211000,184500.0,1,0,0,1,1,1,Medium Rating, WA,0,65
3.1,Intrado,"Longmont, CO","Omaha, NE",5001 to 10000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),data analyst,Associate,20000,39000,29500.0,0,0,0,1,0,0,Medium Rating, CO,0,37
4.7,Centauri,"Beavercreek, OH","Chantilly, VA",501 to 1000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),other scientist,Other,56000,117000,86500.0,0,0,0,0,0,0,High Rating, OH,0,24
3.7,Caterpillar,"Peoria, IL","Deerfield, IL",10000+ employees,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),data scientist,Associate,63000,99000,81000.0,0,0,0,0,1,0,Medium Rating, IL,0,98
3.8,Zimmerman Advertising,"Fort Lauderdale, FL","Fort Lauderdale, FL",501 to 1000 employees,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown,data scientist,Other,68000,114000,91000.0,1,0,0,1,1,1,Medium Rating, FL,1,39
3.3,Liberty Mutual Insurance,"Boston, MA","Boston, MA",10000+ employees,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),data scientist,Other,86000,143000,114500.0,1,0,0,0,0,0,Medium Rating, MA,1,111
4.6,"Torch Technologies, Inc.","Huntsville, AL","Huntsville, AL",1001 to 5000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),data scientist,Other,41000,95000,68000.0,1,0,0,1,1,0,High Rating, AL,1,21
3.7,Swiss Re,"Armonk, NY","Zurich, Switzerland",10000+ employees,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),data scientist,Other,86000,144000,115000.0,1,0,0,1,0,1,Medium Rating, NY,0,160
3.7,Northrop Grumman,"San Diego, CA","Falls Church, VA",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),data scientist,Other,80000,139000,109500.0,0,0,0,1,1,1,Medium Rating, CA,0,84
3.5,Sartorius,"Albuquerque, NM","Gottingen, Germany",5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),data scientist,Other,56000,95000,75500.0,1,0,0,1,0,0,Medium Rating, NM,0,153
4.1,Netskope,"San Francisco, CA","Santa Clara, CA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data scientist,Other,120000,189000,154500.0,1,1,0,1,0,0,High Rating, CA,0,11
4.7,1904labs,"Saint Louis, MO","Saint Louis, MO",51 to 200 employees,Company - Private,IT Services,Information Technology,Unknown,data scientist,Other,111000,176000,143500.0,1,1,0,0,0,1,High Rating, MO,1,7
4.1,ClearOne Advantage,"Baltimore, MD","Baltimore, MD",501 to 1000 employees,Company - Private,Banks & Credit Unions,Finance,Unknown,data scientist,Other,54000,93000,73500.0,0,0,0,1,0,0,High Rating, MD,1,15
3.4,CyrusOne,"Dallas, TX","Dallas, TX",201 to 500 employees,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),data scientist,Other,71000,119000,95000.0,1,0,1,1,0,1,Medium Rating, TX,1,23
4.4,The David J. Joseph Company,"Cincinnati, OH","Cincinnati, OH",201 to 500 employees,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,Unknown,data scientist,Senior/Principal,82000,132000,107000.0,1,0,1,0,1,1,High Rating, OH,1,138
4.3,USEReady,"New York, NY","New York, NY",201 to 500 employees,Company - Private,Consulting,Business Services,$10 to $25 million (USD),data scientist,Other,84000,146000,115000.0,1,1,1,0,1,1,High Rating, NY,1,12
3.8,Bill.com,"Palo Alto, CA","Palo Alto, CA",501 to 1000 employees,Company - Public,Financial Transaction Processing,Finance,$50 to $100 million (USD),data scientist,Senior/Principal,107000,172000,139500.0,0,0,0,0,0,1,Medium Rating, CA,1,17
3.8,Pacific Northwest National Laboratory,"Richland, WA","Richland, WA",1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),data scientist,Entry Level,49000,85000,67000.0,0,0,0,0,0,0,Medium Rating, WA,1,58
3.8,DICK'S Sporting Goods - Corporate,"Coraopolis, PA","Coraopolis, PA",10000+ employees,Company - Public,Sporting Goods Stores,Retail,$5 to $10 billion (USD),data scientist,Other,61000,109000,85000.0,1,0,0,0,0,1,Medium Rating, PA,1,75
2.8,Berg Health,"Framingham, MA","Framingham, MA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),data scientist,Other,88000,148000,118000.0,1,0,0,1,0,1,Low Rating, MA,1,17
4.7,Oversight Systems,"Atlanta, GA","Atlanta, GA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),data scientist,Other,60000,99000,79500.0,1,0,0,1,0,1,High Rating, GA,1,20
3.1,C Space,"Boston, MA","Boston, MA",201 to 500 employees,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),data scientist,Other,41000,72000,56500.0,1,0,0,0,1,1,Medium Rating, MA,1,24
3.2,"Numeric, LLC","Philadelphia, PA","Chadds Ford, PA",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),data scientist,Other,96000,161000,128500.0,1,1,1,0,0,1,Medium Rating, PA,0,-1
4.0,HP Inc.,"Vancouver, WA","Palo Alto, CA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology,Unknown,other scientist,Other,65000,130000,97500.0,0,0,0,0,0,0,High Rating, WA,0,84
4.4,SpringML,"Indianapolis, IN","Pleasanton, CA",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,other analytics,Other,52000,81000,66500.0,1,0,0,0,1,0,High Rating, IN,0,8
3.6,Grainger,"Lake Forest, IL","Lake Forest, IL",10000+ employees,Company - Public,Wholesale,Business Services,$10+ billion (USD),data scientist,Executive/Director,139000,220000,179500.0,1,0,0,1,0,1,Medium Rating, IL,1,96
2.7,EAG Laboratories,"Maryland Heights, MO","San Diego, CA",501 to 1000 employees,Subsidiary or Business Segment,Research & Development,Business Services,$50 to $100 million (USD),other scientist,Other,50000,102000,76000.0,0,0,0,1,0,0,Low Rating, MO,0,45
3.9,The Buffalo Group,"Charlottesville, VA","Reston, VA",501 to 1000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),data scientist,Senior/Principal,85000,139000,112000.0,1,1,0,0,0,1,Medium Rating, VA,0,13
3.1,Carmeuse,"Pittsburgh, PA","Louvain-la-Neuve, Belgium",1001 to 5000 employees,Company - Private,Mining,Mining & Metals,$1 to $2 billion (USD),data scientist,Other,74000,122000,98000.0,1,0,0,0,0,0,Medium Rating, PA,0,163
4.0,HP Inc.,"Vancouver, WA","Palo Alto, CA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology,Unknown,data scientist,Senior/Principal,99000,157000,128000.0,0,1,1,0,0,1,High Rating, WA,0,84
4.3,h2o.ai,"Mountain View, CA","Mountain View, CA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data scientist,Other,79000,222000,150500.0,1,1,1,1,0,0,High Rating, CA,1,12
1.9,GNS Healthcare,"Cambridge, MA","Cambridge, MA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),reasearch scientist,Other,57000,118000,87500.0,0,0,1,0,0,0,Very Low Rating, MA,1,23
3.3,Peraton,"Chantilly, VA","Herndon, VA",1001 to 5000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),data scientist,Other,83000,137000,110000.0,1,0,0,1,0,0,Medium Rating, VA,0,6
4.4,Pactera,"San Jose, CA","Beijing, China",10000+ employees,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD),data scientist,Other,86000,141000,113500.0,1,0,0,1,0,0,High Rating, CA,0,28
3.9,Nurx,"San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),data scientist,Other,94000,154000,124000.0,1,0,0,0,0,1,Medium Rating, CA,1,7
4.7,webfx.com,"Harrisburg, PA","Harrisburg, PA",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),data analyst,Associate,37000,76000,56500.0,0,0,0,1,0,0,High Rating, PA,1,26
4.5,Johns Hopkins University Applied Physics Laboratory,"Laurel, MD","Laurel, MD",5001 to 10000 employees,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),data scientist,Other,100000,160000,130000.0,1,0,0,1,0,0,High Rating, MD,1,81
4.3,Productive Edge,"Chicago, IL","Chicago, IL",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),data analyst,Other,55000,100000,77500.0,0,0,0,1,0,1,High Rating, IL,1,15
4.0,Excella Consulting,"Arlington, VA","Arlington, VA",201 to 500 employees,Company - Private,Consulting,Business Services,$50 to $100 million (USD),data engineer,Other,60000,114000,87000.0,1,0,1,1,0,1,High Rating, VA,1,21
4.4,Gensco,"Tacoma, WA","Tacoma, WA",501 to 1000 employees,Company - Private,Wholesale,Business Services,$100 to $500 million (USD),data analyst,Other,39000,68000,53500.0,0,0,0,1,0,0,High Rating, WA,1,75
3.2,Walmart,"Plano, TX","Bentonville, AR",10000+ employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),data scientist,Associate,106000,172000,139000.0,0,0,0,0,0,1,Medium Rating, TX,0,61
3.8,Logic20/20,"San Jose, CA","Seattle, WA",201 to 500 employees,Company - Private,Consulting,Business Services,$25 to $50 million (USD),data scientist,Other,86000,142000,114000.0,1,1,1,1,0,1,Medium Rating, CA,0,18
4.2,goTRG,"Miami, FL","Miami, FL",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),data scientist,Other,64000,107000,85500.0,1,1,0,1,0,1,High Rating, FL,1,15
4.5,NMR Consulting,"Huntsville, AL","Chantilly, VA",51 to 200 employees,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),data specialist,Other,31000,65000,48000.0,0,0,0,1,0,1,High Rating, AL,0,27
3.5,iSeatz,"New Orleans, LA","New Orleans, LA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data analyst,Other,34000,62000,48000.0,0,0,0,1,0,1,Medium Rating, LA,1,24
3.5,Nektar Therapeutics,"San Francisco, CA","San Francisco, CA",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),other scientist,Senior/Principal,117000,231000,174000.0,0,0,0,1,0,0,Medium Rating, CA,1,33
3.9,TransUnion,"Atlanta, GA","Chicago, IL",5001 to 10000 employees,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),data scientist,Other,64000,106000,85000.0,1,1,0,0,0,1,Medium Rating, GA,0,55
4.7,IT Concepts,"Landover, MD","Vienna, VA",51 to 200 employees,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),other,Other,79000,134000,106500.0,0,0,0,0,0,0,High Rating, MD,0,20
4.2,Scientific Research Corporation,"Patuxent River, MD","Atlanta, GA",1001 to 5000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),data analyst,Other,52000,93000,72500.0,0,0,0,1,0,0,High Rating, MD,0,35
3.4,General Dynamics Information Technology,"Suitland, MD","Fairfax, VA",10000+ employees,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),other scientist,Other,55000,116000,85500.0,0,0,0,0,0,0,Medium Rating, MD,0,27
3.2,MITRE,"McLean, VA","Bedford, MA",5001 to 10000 employees,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),data scientist,Other,72000,123000,97500.0,1,0,0,1,1,1,Medium Rating, VA,0,65
3.9,The Buffalo Group,"Fort Belvoir, VA","Reston, VA",501 to 1000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),data scientist,Other,74000,124000,99000.0,1,0,0,1,1,0,Medium Rating, VA,0,13
3.1,DentaQuest,"Milwaukee, WI","Boston, MA",1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),data analyst,Other,40000,73000,56500.0,0,0,0,1,0,1,Medium Rating, WI,0,22
4.1,Redjack,"Silver Spring, MD","Silver Spring, MD",1 to 50 employees,Company - Private,IT Services,Information Technology,Unknown,data scientist,Senior/Principal,102000,164000,133000.0,1,0,0,0,0,0,High Rating, MD,1,16
3.8,7Park Data,"New York, NY","New York, NY",51 to 200 employees,Company - Private,Research & Development,Business Services,Unknown,data scientist,Other,89000,153000,121000.0,1,1,0,0,0,0,Medium Rating, NY,1,11
4.7,Rapid Response Monitoring,"Syracuse, NY","Syracuse, NY",501 to 1000 employees,Company - Private,Security Services,Business Services,Unknown,data scientist,Other,61000,110000,85500.0,1,0,0,0,0,1,High Rating, NY,1,31
4.3,Trilogy Ed,"Houston, TX","New York, NY",1001 to 5000 employees,Subsidiary or Business Segment,Education Training Services,Education,Unknown,data scientist,Other,65000,110000,87500.0,1,0,0,0,0,1,High Rating, TX,0,8
4.2,Gallup,"Washington, DC","Washington, DC",1001 to 5000 employees,Company - Private,Consulting,Business Services,Unknown,data scientist,Senior/Principal,200000,275000,237500.0,1,0,0,1,0,0,High Rating, DC,1,88
3.9,CapTech,"Charlotte, NC","Richmond, VA",1001 to 5000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),data engineer,Other,68000,123000,95500.0,1,1,0,0,1,1,Medium Rating, NC,0,26
3.3,American Axle & Manufacturing,"Southfield, MI","Detroit, MI",10000+ employees,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),data scientist,Senior/Principal,80000,129000,104500.0,1,1,1,1,0,1,Medium Rating, MI,0,29
4.7,CentralReach,"Matawan, NJ","Pompano Beach, FL",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown,data analyst,Other,41000,72000,56500.0,0,0,0,1,1,1,High Rating, NJ,0,11
4.3,Integrate,"Phoenix, AZ","Phoenix, AZ",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),data analyst,Senior/Principal,39000,71000,55000.0,0,0,0,1,0,1,High Rating, AZ,1,13
2.9,Boys Town Hospital,"Omaha, NE","Omaha, NE",1001 to 5000 employees,Hospital,Health Care Services & Hospitals,Health Care,Unknown,reasearch scientist,Other,38000,85000,61500.0,0,0,0,1,0,0,Low Rating, NE,1,46
4.5,Demandbase,"San Francisco, CA","San Francisco, CA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),data scientist,Other,121000,193000,157000.0,0,1,1,0,0,0,High Rating, CA,1,17
3.4,Sapphire Digital,"Lyndhurst, NJ","Lyndhurst, NJ",201 to 500 employees,Company - Private,Internet,Information Technology,Unknown,data engineer,Other,54000,102000,78000.0,1,0,0,0,0,1,Medium Rating, NJ,1,4
3.7,Takeda Pharmaceuticals,"Cambridge, MA","OSAKA, Japan",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),data scientist,Other,83000,144000,113500.0,1,1,0,0,0,1,Medium Rating, MA,0,242
4.6,<intent>,"New York, NY","New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology,$100 to $500 million (USD),data scientist,Other,120000,160000,140000.0,1,1,0,0,0,0,High Rating, NY,1,14
3.2,Formation,"San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data scientist,Other,102000,163000,132500.0,0,1,0,1,0,0,Medium Rating, CA,1,8
4.0,Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),data engineer,Other,76000,140000,108000.0,1,1,0,0,0,1,High Rating, CA,0,41
4.6,Beck's Hybrids,"Atlanta, IN","Atlanta, IN",501 to 1000 employees,Company - Private,Farm Support Services,Agriculture & Forestry,$50 to $100 million (USD),data scientist,Other,60000,101000,80500.0,0,0,0,0,0,0,High Rating, IN,1,86
